Description,Real Estate Type,Location,City,Province,Region,Highly Urbanized?,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Total_area (sqm),Price per sqm,Latitude,Longitude,Link
"2BR 2-Storey Townhouse (Eliana Premium, B9 L56) for Sale in San Rafael, Bulacan at Pr...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,095,207",2,na,47,41,88,23809.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-premium-b9-l56-for-s-171333114699.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L11) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l11-for-171333106997.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L12) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l12-for-171333113710.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L15) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l15-for-171333112859.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L19) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l19-for-171333109312.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L20) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l20-for-17133311199.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L21) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l21-for-171333109441.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L25) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l25-for-171333108816.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L27) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l27-for-171333117610.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L30) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l30-for-171333110595.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L31) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l31-for-171333111177.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L37) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l37-for-171333112613.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L38) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l38-for-171333108931.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L45) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l45-for-171333116739.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L46) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l46-for-171333109779.html
"2BR 2-Storey Townhouse (Eliana Regular, B10 L7) for Sale in San Rafael, Bulacan at Pr...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b10-l7-for-s-171333112461.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L12) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l12-for-171333104125.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L23) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l23-for-171333103328.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L24) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l24-for-171333103698.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L29) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l29-for-171333104993.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L30) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l30-for-171333102832.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L35) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l35-for-171333101556.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L36) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l36-for-171333101764.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L38) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l38-for-171333104290.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L4) for Sale in San Rafael, Bulacan at Pr...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l4-for-s-171333106830.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L41) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,070,127",2,na,47,41,88,23524.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l41-for-17133310263.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L43) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l43-for-171333103437.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L44) for Sale in San Rafael, Bulacan at P...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l44-for-17133310076.html
"2BR 2-Storey Townhouse (Eliana Regular, B11 L9) for Sale in San Rafael, Bulacan at Pr...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b11-l9-for-s-171333105772.html
"2BR 2-Storey Townhouse (Eliana Regular, B9 L18) for Sale in San Rafael, Bulacan at Pr...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b9-l18-for-s-171333110974.html
"2BR 2-Storey Townhouse (Eliana Regular, B9 L23) for Sale in San Rafael, Bulacan at Pr...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b9-l23-for-s-171333112533.html
"2BR 2-Storey Townhouse (Eliana Regular, B9 L27) for Sale in San Rafael, Bulacan at Pr...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b9-l27-for-s-17133311582.html
"2BR 2-Storey Townhouse (Eliana Regular, B9 L40) for Sale in San Rafael, Bulacan at Pr...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b9-l40-for-s-171333111695.html
"2BR 2-Storey Townhouse (Eliana Regular, B9 L41) for Sale in San Rafael, Bulacan at Pr...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b9-l41-for-s-171333112258.html
"2BR 2-Storey Townhouse (Eliana Regular, B9 L43) for Sale in San Rafael, Bulacan at Pr...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9725,120.9440408,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b9-l43-for-s-171333110034.html
"2BR 2-Storey Townhouse (Eliana Regular, B9 L10) for Sale in San Rafael, Bulacan at Pr...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9800569,120.9456966,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b9-l10-for-s-171333106921.html
"2BR 2-Storey Townhouse (Eliana Regular, B9 L9) for Sale in San Rafael, Bulacan at Pri...",House,"Caingin, San Rafael",San Rafael,Bulacan,Region III,0,"2,092,127",2,na,47,41,88,23774.17,14.9800569,120.9456966,https://www.lamudi.com.ph/2br-2-storey-townhouse-eliana-regular-b9-l9-for-sa-171333106157.html
"Twin Suite Hotel Unit For Sale in San Vicente, Palawan",Condo Unit,"Kemdeng, San Vicente",San Vicente,Palawan,Region IV-B,0,"10,887,000",1,1,25,na,25,435480,10.444983,119.263208,https://www.lamudi.com.ph/twin-suite-hotel-unit-for-sale-in-san-vicente-pala-170966970492.html
1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey Corner...,House,"Bulac, Santa Maria",Santa Maria,Bulacan,Region III,0,"1,675,000",1,na,44,40,84,19940.48,14.835455,121.012734,https://www.lamudi.com.ph/1br-rowhouse-for-sale-at-marytown-place-in-santa-m-165942503241.html
1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey Inner ...,House,"Bulac, Santa Maria",Santa Maria,Bulacan,Region III,0,"1,675,000",1,na,44,40,84,19940.48,14.835455,121.012734,https://www.lamudi.com.ph/1br-rowhouse-for-sale-at-marytown-place-in-santa-m-165942503372.html
"3BR Single Attached-Complete House and Lot for Sale in Santa Maria, Bulacan | North O...",House,"Caysio, Santa Maria",Santa Maria,Bulacan,Region III,0,"5,183,808",3,na,75,80,155,33443.92,14.84406,120.96902,https://www.lamudi.com.ph/3br-single-attached-complete-house-and-lot-for-sal-170503977534.html
"For Sale 3BR Single Attached-Complete House and Lot in Santa Maria, Bulacan at North ...",House,"Caysio, Santa Maria",Santa Maria,Bulacan,Region III,0,"5,183,808",3,na,75,80,155,33443.92,14.84406,120.96902,https://www.lamudi.com.ph/for-sale-3br-single-attached-complete-house-and-lo-170503977532.html
"2BR 2-Storey Townhouse for Sale in Santo Tomas, Batangas at Avila Heights | TH 46",House,"San Antonio, Santo Tomas",Santo Tomas,Batangas,Region IV-A,0,"2,326,838",2,na,46,51,97,23988.02,14.12405,121.17277,https://www.lamudi.com.ph/2br-2-storey-townhouse-for-sale-in-santo-tomas-bat-171193176141.html
"3BR 2-Storey Duplex House and Lot for Sale in Santo Tomas, Batangas at Avila Heights ...",House,"San Antonio, Santo Tomas",Santo Tomas,Batangas,Region IV-A,0,"4,870,223",3,na,90,102,192,25365.74,14.12405,121.17277,https://www.lamudi.com.ph/3br-2-storey-duplex-house-and-lot-for-sale-in-sant-171193163137.html
"3BR 2-Storey Townhouse for Sale in Santo Tomas, Batangas at Avila Heights | Alto - Co...",House,"San Antonio, Santo Tomas",Santo Tomas,Batangas,Region IV-A,0,"4,515,905",3,na,60,104,164,27536.01,14.12405,121.17277,https://www.lamudi.com.ph/3br-2-storey-townhouse-for-sale-in-santo-tomas-bat-171193163174.html
"3BR 2-Storey Townhouse for Sale in Santo Tomas, Batangas at Avila Heights | TH 64",House,"San Antonio, Santo Tomas",Santo Tomas,Batangas,Region IV-A,0,"2,984,738",3,na,64,51,115,25954.24,14.12405,121.17277,https://www.lamudi.com.ph/3br-2-storey-townhouse-for-sale-in-santo-tomas-bat-171193163213.html
"Residential Lot for Sale in Silang, Cavite at Verdea | 497sqm",Lot,"Hukay, Silang",Silang,Cavite,Region IV-A,0,"26,961,607",na,na,na,497,497,54248.71,14.219,121.0152324,https://www.lamudi.com.ph/residential-lot-for-sale-in-silang-cavite-at-verde-17078102575.html
"Residential Lot for Sale in Silang, Cavite at Hillside Ridge | 652sqm",Lot,"Hukay, Silang",Silang,Cavite,Region IV-A,0,"31,934,821",na,na,na,652,652,48979.79,14.2236058,121.02566,https://www.lamudi.com.ph/residential-lot-for-sale-in-silang-cavite-at-hills-170781025792.html
"Residential Lot for Sale in Silang, Cavite at Hillside Ridge | 278sqm",Lot,"Hukay, Silang",Silang,Cavite,Region IV-A,0,"10,347,321",na,na,na,278,278,37220.58,14.2106,121.0080337,https://www.lamudi.com.ph/residential-lot-for-sale-in-silang-cavite-at-hills-170781025643.html
"3BR 2-Storey Duplex House and Lot for Sale in Silang, Cavite at Suntrust Verona | Mar...",House,"Lumil, Silang",Silang,Cavite,Region IV-A,0,"5,918,835",3,na,93,88,181,32700.75,14.183282,121.012375,https://www.lamudi.com.ph/3br-2-storey-duplex-house-and-lot-for-sale-in-sila-171201892198.html
READY FOR OCCUPANCY UNIT,Condo Unit,"Maguyam, Silang",Silang,Cavite,Region IV-A,0,"6,580,000",3,na,89,100,189,34814.81,14.2325514,120.9742517,https://www.lamudi.com.ph/ready-for-occupancy-unit-17122308964.html
"4BR 2-Storey SD House and Lot for Sale in Silang, Cavite at Suntrust Verona | Caterin...",House,"Lumil, Silang",Silang,Cavite,Region IV-A,0,"10,201,715",4,na,136,176,312,32697.8,14.183282,121.012375,https://www.lamudi.com.ph/4br-2-storey-sd-house-and-lot-for-sale-in-silang-c-171201891712.html
"4BR 2-Storey SD House and Lot for Sale in Silang, Cavite at Suntrust Verona | Luciana",House,"Lumil, Silang",Silang,Cavite,Region IV-A,0,"11,295,140",4,na,174,176,350,32271.83,14.183282,121.012375,https://www.lamudi.com.ph/4br-2-storey-sd-house-and-lot-for-sale-in-silang-c-171201892193.html
FOR SALE: 5 Bedroom Brand New House South Forbes near Nuvali and Tagaytay,House,"Inchican, Silang",Silang,Cavite,Region IV-A,0,"55,000,000",5,na,330,326,656,83841.46,14.2363657,121.0384526,https://www.lamudi.com.ph/for-sale-5-bedroom-brand-new-house-south-forbes-ne-171194208550.html
"2-Storey House, 5 Bedrooms in Camella Silang Terrazas| Freya",House,"Adlas, Silang",Silang,Cavite,Region IV-A,0,"12,684,000",5,na,142,174,316,40139.24,14.247971,120.967635,https://www.lamudi.com.ph/2-storey-house-5-bedrooms-in-camella-silang-terraz-170514782260.html
"Residential Lot for Sale in Subic, Zambales at Camella Subic | 88sqm Lot Only",Lot,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"2,742,000",na,na,na,88,88,31159.09,14.909105,120.215896,https://www.lamudi.com.ph/residential-lot-for-sale-in-subic-zambales-at-came-170988620516.html
"Residential Lot for Sale in Subic, Zambales at Camella Subic | 162sqm Lot Only",Lot,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"5,576,000",na,na,na,162,162,34419.75,14.909105,120.215896,https://www.lamudi.com.ph/residential-lot-for-sale-in-subic-zambales-at-came-170988620384.html
"3-Bedroom SD House and Lot for Sale in Subic, Zambales at The Hauslands Subic | Cedar...",House,"Mangan-Vaca, Subic",Subic,Zambales,Region III,0,"6,750,000",3,na,98,144,242,27892.56,14.8893,120.2375011,https://www.lamudi.com.ph/3-bedroom-sd-house-and-lot-for-sale-in-subic-zamba-171291799098.html
"3-Bedroom SD House and Lot for Sale in Subic, Zambales at The Hauslands Subic | Cedar...",House,"Mangan-Vaca, Subic",Subic,Zambales,Region III,0,"7,450,000",3,na,98,144,242,30785.12,14.8893,120.2375011,https://www.lamudi.com.ph/3-bedroom-sd-house-and-lot-for-sale-in-subic-zamba-171291799250.html
"For Sale 3-Bedroom SD House and Lot in Subic, Zambales at The Hauslands Subic | Cedar...",House,"Mangan-Vaca, Subic",Subic,Zambales,Region III,0,"7,450,000",3,na,98,144,242,30785.12,14.8893,120.2375011,https://www.lamudi.com.ph/for-sale-3-bedroom-sd-house-and-lot-in-subic-zamba-17129197650.html
"House and Lot with 3 Bedrooms for Sale in Subic, Zambales at The Hauslands Subic | Ce...",House,"Mangan-Vaca, Subic",Subic,Zambales,Region III,0,"6,750,000",3,na,98,144,242,27892.56,14.8893,120.2375011,https://www.lamudi.com.ph/house-and-lot-with-3-bedrooms-for-sale-in-subic-za-171291976550.html
"2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Angeli SF",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"2,681,000",2,na,42,54,96,27927.08,14.909105,120.215896,https://www.lamudi.com.ph/2br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209082.html
"2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Bella 95sqm",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"5,578,000",2,na,53,95,148,37689.19,14.909105,120.215896,https://www.lamudi.com.ph/2br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209141.html
"2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Criselle 73...",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"3,790,000",2,na,40,73,113,33539.82,14.909105,120.215896,https://www.lamudi.com.ph/2br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209750.html
"2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ezabelle 74...",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"3,984,000",2,na,46,74,120,33200,14.909105,120.215896,https://www.lamudi.com.ph/2br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209541.html
"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara 146sqm",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"6,810,000",3,na,66,146,212,32122.64,14.909105,120.215896,https://www.lamudi.com.ph/3br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209331.html
"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara 95sqm",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"6,060,000",3,na,66,95,161,37639.75,14.909105,120.215896,https://www.lamudi.com.ph/3br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209240.html
"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara w/ CB ...",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"6,249,000",3,na,66,118,184,33961.96,14.909105,120.215896,https://www.lamudi.com.ph/3br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209688.html
"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara w/ CB ...",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"7,907,000",3,na,66,150,216,36606.48,14.909105,120.215896,https://www.lamudi.com.ph/3br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209783.html
"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara w/ CB ...",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"8,277,000",3,na,66,162,228,36302.63,14.909105,120.215896,https://www.lamudi.com.ph/3br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209566.html
"4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani 146sqm",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"7,340,000",4,na,83,146,229,32052.4,14.909105,120.215896,https://www.lamudi.com.ph/4br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209293.html
"4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani 99sqm",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"6,087,000",4,na,83,99,182,33445.05,14.909105,120.215896,https://www.lamudi.com.ph/4br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209665.html
"4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani w/ CB ...",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"10,501,000",4,na,83,217,300,35003.33,14.909105,120.215896,https://www.lamudi.com.ph/4br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209479.html
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ella w/ CB ...",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"7,421,000",5,na,100,121,221,33579.19,14.909105,120.215896,https://www.lamudi.com.ph/5br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209384.html
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ella w/ CB ...",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"8,434,000",5,na,100,158,258,32689.92,14.909105,120.215896,https://www.lamudi.com.ph/5br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209094.html
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ella w/ CB ...",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"8,463,000",5,na,100,163,263,32178.71,14.909105,120.215896,https://www.lamudi.com.ph/5br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209574.html
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 153sq...",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"9,185,000",5,na,142,153,295,31135.59,14.909105,120.215896,https://www.lamudi.com.ph/5br-2-storey-house-and-lot-for-sale-in-subic-zamba-170971209274.html
"RFO 2-Storey House and Lot w/ 1BR Provision for Sale in Subic, Zambales at Camella Su...",House,"Aningway Sacatihan, Subic",Subic,Zambales,Region III,0,"2,341,000",1,na,33,70,103,22728.16,14.909105,120.215896,https://www.lamudi.com.ph/rfo-2-storey-house-and-lot-w-1br-provision-for-sal-170971209397.html
"Studio Condo Unit for Sale in Western Bicutan, Taguig | Park Cascades - East Tower at...",Condo Unit,"Western Bicutan, Taguig",Taguig,Metropolitan Manila,NCR,1,"8,390,000",1,1,28,na,28,299642.86,14.5066,121.047905,https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-western-bicutan-tagu-170781025345.html
"RFO Pet-friendly 2BR Condo Unit for Sale in The Trion Towers – T3, BGC, Taguig | 84.7...",Condo Unit,"Fort Bonifacio, Taguig",Taguig,Metropolitan Manila,NCR,1,"25,400,000",2,2,84,na,84,302380.95,14.5461009,121.0495969,https://www.lamudi.com.ph/rfo-pet-friendly-2br-condo-unit-for-sale-in-the-tr-169693349269.html
"RFO Pet-friendly 1BR Condo Unit for Sale in The Trion Towers – T3, BGC, Taguig | 55.4...",Condo Unit,"Fort Bonifacio, Taguig",Taguig,Metropolitan Manila,NCR,1,"16,800,000",1,1,55,na,55,305454.55,14.5461009,121.0495969,https://www.lamudi.com.ph/rfo-pet-friendly-1br-condo-unit-for-sale-in-the-tr-169693349645.html
"RFO Pet-friendly 1BR Condo Unit for Sale in The Trion Towers – T3, BGC, Taguig | 37.1...",Condo Unit,"Fort Bonifacio, Taguig",Taguig,Metropolitan Manila,NCR,1,"11,200,000",1,1,37,na,37,302702.7,14.5461009,121.0495969,https://www.lamudi.com.ph/rfo-pet-friendly-1br-condo-unit-for-sale-in-the-tr-169693349399.html
"Office Unit for Sale in Western Bicutan, Taguig | Tryne Enterprise Plaza at ARCA Sout...",Condo Unit,"Western Bicutan, Taguig",Taguig,Metropolitan Manila,NCR,1,"74,746,000",na,na,260,na,260,287484.62,14.5034,121.0426198,https://www.lamudi.com.ph/office-unit-for-sale-in-western-bicutan-taguig-try-170781025688.html
"M-R-3-993- Acquired Property for Sale in Unit 1903, 19/F, Tower B, Fort Victoria Cond...",Condo Unit,"Fort Bonifacio, Taguig",Taguig,Metropolitan Manila,NCR,1,"7,101,500",1,na,41,na,41,173207.32,14.5469193,121.0457204,https://www.lamudi.com.ph/m-r-3-993-acquired-property-for-sale-in-unit-1903-19-f-tower-b-fort-victoria-condominium-bonifacio-global-city-brgy-fort-bonifacio-taguig-city-retail.html
