Description,Real Estate Type,Location,City,Province,Region,Highly Urbanized?,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Total_area (sqm),Price per sqm,Latitude,Longitude,Link
"Studio with Balcony High-Rise Condo Unit for Sale in Southkey Place – East Wing, Alab...",Condo Unit,"Alabang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"4,378,154",1,1,22,na,22,199007,14.4249,121.0408551,https://www.lamudi.com.ph/studio-with-balcony-high-rise-condo-unit-for-sale-169698893522.html
"Studio Condo Unit for Sale in Ayala Alabang, Muntinlupa | Viento at Cerca - T3, 25sqm",Condo Unit,"Ayala Alabang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"7,843,000",1,1,25,na,25,313720,14.4253,121.021105,https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-ayala-alabang-muntin-170781025654.html
"Studio Condo Unit for Sale in Ayala Alabang, Muntinlupa | Viento at Cerca - T3, 24sqm",Condo Unit,"Ayala Alabang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"7,722,000",1,1,24,na,24,321750,14.4253,121.021105,https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-ayala-alabang-muntin-17078102567.html
"Office Unit for Sale in Alabang, Muntinlupa at Parkway Corporate Center | 36sqm",Condo Unit,"Alabang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"10,400,000",na,na,36,na,36,288888.89,14.415269,121.038029,https://www.lamudi.com.ph/office-unit-for-sale-in-alabang-muntinlupa-at-park-16987418841.html
"Office Unit for Sale in Alabang, Muntinlupa at Parkway Corporate Center (for as low a...",Condo Unit,"Alabang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"17,900,000",na,na,67,na,67,267164.18,14.415269,121.038029,https://www.lamudi.com.ph/office-unit-for-sale-in-alabang-muntinlupa-at-park-169874188457.html
"Office Unit for Sale in Alabang, Muntinlupa at Parkway Corporate Center (for as low a...",Condo Unit,"Alabang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"17,316,000",na,na,60,na,60,288600,14.415269,121.038029,https://www.lamudi.com.ph/office-unit-for-sale-in-alabang-muntinlupa-at-park-169874188689.html
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntin...,House,"Cupang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"31,348,000",3,na,247,92,339,92471.98,14.4179774,121.037608,https://www.lamudi.com.ph/likha-residences-pre-selling-3br-3-storey-townhous-166928184993.html
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntin...,House,"Cupang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"31,706,000",3,na,247,92,339,93528.02,14.4179774,121.037608,https://www.lamudi.com.ph/likha-residences-pre-selling-3br-3-storey-townhous-166928185174.html
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntin...,House,"Cupang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"32,331,000",3,na,247,94,341,94812.32,14.4179774,121.037608,https://www.lamudi.com.ph/likha-residences-pre-selling-3br-3-storey-townhous-166928184715.html
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntin...,House,"Cupang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"32,342,000",3,na,247,93,340,95123.53,14.4179774,121.037608,https://www.lamudi.com.ph/likha-residences-pre-selling-3br-3-storey-townhous-166928185374.html
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntin...,House,"Cupang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"32,539,000",3,na,247,93,340,95702.94,14.4179774,121.037608,https://www.lamudi.com.ph/likha-residences-pre-selling-3br-3-storey-townhous-166928185632.html
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntin...,House,"Cupang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"32,539,000",3,na,247,93,340,95702.94,14.4179774,121.037608,https://www.lamudi.com.ph/likha-residences-pre-selling-3br-3-storey-townhous-166928185276.html
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntin...,House,"Cupang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"32,539,000",3,na,247,93,340,95702.94,14.4179774,121.037608,https://www.lamudi.com.ph/likha-residences-pre-selling-3br-3-storey-townhous-166928184940.html
